Match Name,teamA_name,teamB_name,year,teamA_won,predicted,probability_teamA,correct,teamA_kills,teamB_kills,teamA_acs,teamB_acs,teamA_rating,teamB_rating,teamA_kd,teamB_kd,diff_kills,diff_acs,diff_kd,resultado_real,resultado_predicho,prediccion_correcta,confianza
azzi's anime aimers vs Munich-eSports Academy,Munich-eSports Academy,azzi's anime aimers,2022,0,0,2.4710366349662988e-09,1,69.0,135.0,135.0,241.6,0.532,1.488,0.5111111111111111,1.9565217391304348,-66.0,-106.6,-1.4454106280193237,Team B ganó,Team B ganó,Correcta,0.9999999950579267
FUT Esports vs LEVIATÁN,FUT Esports,LEVIATÁN,2024,1,1,0.8049696875148682,1,237.0,217.0,217.4,200.4,,,1.0871559633027523,0.9156118143459916,20.0,17.0,0.17154414895676073,Team A ganó,Team A ganó,Correcta,0.6099393750297364
Paper Rex vs You Guys Get Paid?,Paper Rex,You Guys Get Paid?,2022,1,1,0.9999999952970773,1,134.0,58.0,254.2,141.6,1.49,0.508,2.310344827586207,0.43283582089552236,76.0,112.6,1.8775090066906845,Team A ganó,Team A ganó,Correcta,0.9999999905941546
Ksenox vs TooManyQuestions,Ksenox,TooManyQuestions,2021,0,0,0.24357965939732812,1,249.0,275.0,198.8,218.2,,,0.9054545454545454,1.104417670682731,-26.0,-19.399999999999977,-0.1989631252281855,Team B ganó,Team B ganó,Correcta,0.5128406812053438
OutRage vs Team Aurora,OutRage,Team Aurora,2021,0,0,3.670061609570447e-05,1,98.0,148.0,176.0,235.6,0.674,1.248,0.6621621621621622,1.510204081632653,-50.0,-59.599999999999994,-0.8480419194704908,Team B ganó,Team B ganó,Correcta,0.9999265987678085
Immortals vs Luminosity,Immortals,Luminosity,2021,1,1,0.7237327322526474,1,513.0,470.0,222.5,203.2,,,1.0914893617021277,0.9161793372319688,43.0,19.30000000000001,0.17531002447015898,Team A ganó,Team A ganó,Correcta,0.4474654645052949
World Game Star vs Desperado,Desperado,World Game Star,2022,0,0,0.24022910373260398,1,176.0,188.0,194.8,206.4,0.9640000000000001,1.028,0.9361702127659575,1.0621468926553672,-12.0,-11.599999999999994,-0.12597667988940975,Team B ganó,Team B ganó,Correcta,0.519541792534792
Display Porters vs Sissi State Punks,Display Porters,Sissi State Punks,2022,0,0,4.126952750975202e-08,1,77.0,142.0,143.0,232.8,0.6060000000000001,1.41,0.5422535211267606,1.844155844155844,-65.0,-89.80000000000001,-1.3019023230290836,Team B ganó,Team B ganó,Correcta,0.999999917460945
Team hz vs Secha Ghouls,Secha Ghouls,Team hz,2022,0,0,5.970730691640279e-06,1,94.0,152.0,168.2,236.8,0.678,1.28,0.618421052631579,1.6170212765957446,-58.0,-68.60000000000002,-0.9986002239641656,Team B ganó,Team B ganó,Correcta,0.9999880585386167
M4L vs Antalyaspor Esports,Antalyaspor Esports,M4L,2021,0,0,0.003579190734695609,1,116.0,158.0,184.4,242.2,,,0.7341772151898734,1.3389830508474576,-42.0,-57.79999999999998,-0.6048058356575842,Team B ganó,Team B ganó,Correcta,0.9928416185306088
Medellin vs Bomb Crypto,Bomb Crypto,Medellin,2022,1,1,0.9999904267470401,1,155.0,90.0,239.6,156.6,1.31,0.6719999999999999,1.7222222222222223,0.5806451612903226,65.0,83.0,1.1415770609318998,Team A ganó,Team A ganó,Correcta,0.9999808534940802
PointAndClick vs eSuba,PointAndClick,eSuba,2021,0,0,0.005916324064093749,1,131.0,161.0,184.0,219.0,0.842,1.1880000000000002,0.8136645962732919,1.2290076335877862,-30.0,-35.0,-0.4153430373144943,Team B ganó,Team B ganó,Correcta,0.9881673518718125
Vozmojno Agressiya vs AHEKDOT,AHEKDOT,Vozmojno Agressiya,2022,0,0,0.04254986545231616,1,235.0,274.0,184.0,215.4,0.8620000000000001,1.144,0.8576642335766423,1.1659574468085105,-39.0,-31.400000000000006,-0.3082932132318682,Team B ganó,Team B ganó,Correcta,0.9149002690953677
SPEAR GAMING vs C2S,C2S,SPEAR GAMING,2021,0,0,0.06176533673043822,1,132.0,159.0,188.2,228.0,,,0.8301886792452831,1.2045454545454546,-27.0,-39.80000000000001,-0.37435677530017153,Team B ganó,Team B ganó,Correcta,0.8764693265391236
Renegades vs REGEN,REGEN,Renegades,2022,0,0,9.797245164541018e-10,1,71.0,148.0,139.8,253.6,0.49800000000000005,1.454,0.4797297297297297,2.084507042253521,-77.0,-113.79999999999998,-1.6047773125237912,Team B ganó,Team B ganó,Correcta,0.999999998040551
19esports vs BREAK Gaming,19esports,BREAK Gaming,2021,1,1,0.9999971152948854,1,153.0,84.0,248.8,154.2,1.362,0.594,1.8214285714285714,0.5490196078431373,69.0,94.60000000000002,1.272408963585434,Team A ganó,Team A ganó,Correcta,0.9999942305897709
BBL Esports vs Beşiktaş Esports,BBL Esports,Beşiktaş Esports,2021,0,0,9.352784200250055e-05,1,115.0,169.0,175.8,237.6,0.72,1.234,0.6804733727810651,1.4695652173913043,-54.0,-61.79999999999998,-0.7890918446102392,Team B ganó,Team B ganó,Correcta,0.999812944315995
NASR Esports vs Anubis Gaming,Anubis Gaming,NASR Esports,2021,1,1,0.5854924892464267,1,366.0,366.0,196.72727272727272,197.6,1.01,0.9359999999999999,1.0,1.0,0.0,-0.8727272727272748,0.0,Team A ganó,Team A ganó,Correcta,0.17098497849285343
Morph Impact vs Team Pelarian,Morph Impact,Team Pelarian,2022,1,1,0.999710448252213,1,154.0,106.0,229.4,168.8,1.256,0.764,1.4528301886792452,0.6883116883116883,48.0,60.599999999999994,0.7645185003675569,Team A ganó,Team A ganó,Correcta,0.999420896504426
CGN Esports vs ooliganz,CGN Esports,ooliganz,2021,1,1,0.9913211051250562,1,154.0,122.0,206.4,166.6,1.114,0.852,1.2622950819672132,0.7922077922077922,32.0,39.80000000000001,0.47008728975942093,Team A ganó,Team A ganó,Correcta,0.9826422102501124
Global Esports vs T1,Global Esports,T1,2024,0,0,0.019177588745805246,1,207.0,250.0,185.0,211.2,0.922,1.092,0.828,1.2077294685990339,-43.0,-26.19999999999999,-0.3797294685990339,Team B ganó,Team B ganó,Correcta,0.9616448225083896
Mixers vs Reject$,Mixers,Reject$,2021,0,0,0.00012976932470409874,1,117.0,169.0,167.6,228.6,0.744,1.246,0.6923076923076923,1.4444444444444444,-52.0,-61.0,-0.7521367521367521,Team B ganó,Team B ganó,Correcta,0.9997404613505918
Galaxy Esports vs Blitz Esports,Blitz Esports,Galaxy Esports,2022,0,1,0.7548724792032703,0,253.0,243.0,208.2,200.8,1.058,0.9960000000000001,1.0411522633744856,0.9604743083003953,10.0,7.399999999999977,0.08067795507409037,Team B ganó,Team A ganó,Incorrecta,0.5097449584065405
