equipo,total_partidos,total_victorias,winrate,accuracy_modelo,avg_acs,avg_kd,avg_kills
100 Thieves,5.0,4.0,80.0,80.0,204.95999999999998,1.1044753536402792,195.6
19esports,7.0,5.0,71.43,100.0,211.65714285714284,1.1943215980245083,187.14285714285714
2Game Esports,7.0,1.0,14.29,100.0,179.53333333333333,0.8063786888209101,163.16666666666666
303 Esports,5.0,3.0,60.0,100.0,203.48,1.097665228766346,153.4
717 Monster Esports,3.0,2.0,66.67,100.0,194.13333333333333,1.045263157894737,127.0
969 gang,3.0,1.0,33.33,100.0,176.9333333333333,0.8005737259355339,109.66666666666667
9z Team,10.0,8.0,80.0,80.0,213.58,1.2711707589471755,237.8
APEX PEOPLE,5.0,3.0,60.0,100.0,212.76,1.0568784402772162,155.6
ATRAVS,3.0,1.0,33.33,100.0,201.6,1.106545266327875,158.33333333333334
AUTOCRACY,3.0,2.0,66.67,100.0,212.73333333333335,1.1434871317283284,143.33333333333334
AWARIA,3.0,2.0,66.67,100.0,215.33333333333334,1.4425497181393219,176.0
AXIBYTE ESPORTS,3.0,2.0,66.67,100.0,222.8,1.2904040404040404,191.0
Able Esports,4.0,1.0,25.0,100.0,193.2,0.934180503567201,156.75
Absolute JUPITER,6.0,5.0,83.33,100.0,211.76666666666665,1.1482520435264196,167.5
Acend,6.0,5.0,83.33,83.33,212.21666666666667,1.1247687966469242,259.5
Action PH,4.0,2.0,50.0,75.0,215.13333333333333,1.0738510995900834,254.0
Aim.Attack,11.0,6.0,54.55,81.82,203.8272727272727,1.0344754328003753,208.0
Akave Esports,5.0,4.0,80.0,100.0,212.74,1.0833138401559455,224.4
Akrew,4.0,3.0,75.0,50.0,211.0666666666667,1.2424129689754688,236.66666666666666
All Gamers,3.0,0.0,0.0,100.0,174.66666666666666,0.7712459204865746,181.33333333333334
Alliance,8.0,6.0,75.0,100.0,217.25714285714284,1.1393074048574738,179.71428571428572
Alpha Esports Pro,3.0,3.0,100.0,100.0,226.4,1.2846385760461507,139.33333333333334
Alpha Six Gaming,4.0,2.0,50.0,100.0,191.0666666666667,0.8427838209489943,180.33333333333334
Alter Ego,5.0,2.0,40.0,60.0,203.93,1.2199192459542376,321.4
Anatolia Esports,4.0,2.0,50.0,100.0,207.375,0.9933287698418405,189.5
Andbox,12.0,9.0,75.0,100.0,219.74242424242422,1.2873096313360988,221.1818181818182
Anonymo Esports,3.0,2.0,66.67,100.0,214.6,1.1503492511743847,148.33333333333334
Anubis Gaming,7.0,6.0,85.71,71.43,205.2378787878788,1.1561771225050357,281.6666666666667
Aqua,3.0,0.0,0.0,100.0,170.06666666666666,0.6464781366606076,101.33333333333333
Arca do Plato,3.0,2.0,66.67,100.0,201.86666666666667,0.9660702967080054,194.33333333333334
Archons,3.0,2.0,66.67,100.0,177.8,0.8263060086723105,132.0
ArkAngel,3.0,1.0,33.33,66.67,207.23333333333335,1.0060418819107995,295.6666666666667
Aspire,7.0,6.0,85.71,100.0,221.4,1.3656052613084737,193.33333333333334
Australs,5.0,5.0,100.0,100.0,224.95,1.4932260379220832,153.25
Axsor,3.0,3.0,100.0,66.67,206.9333333333333,1.12795387381732,207.0
BASILISK,6.0,3.0,50.0,100.0,206.84,1.0527196473269758,165.8
BBL Esports,6.0,3.0,50.0,100.0,203.73333333333335,1.0433448607525375,171.66666666666666
BEAST,4.0,4.0,100.0,100.0,220.4,1.2429234057280685,185.0
BIG,4.0,1.0,25.0,75.0,198.05,1.0555297031167616,310.0
BLUE BEES.ESP,3.0,1.0,33.33,100.0,162.0,0.6621621621621622,98.0
BOOM Esports,15.0,10.0,66.67,80.0,210.28,1.1181748422303956,222.0
BOY WITH LOVE,3.0,2.0,66.67,100.0,230.8,1.5377753701697363,171.5
Bait Academy,5.0,3.0,60.0,80.0,207.6,1.0975098202937545,171.2
Beşiktaş Esports,5.0,3.0,60.0,100.0,203.85,1.0351678543237914,181.0
Bigetron Arctic,4.0,3.0,75.0,100.0,215.95,1.1940679378954917,221.75
